"id","title","description","price","rating","stock","brand","discountPercentage"
"1","iPhone 9","An apple mobile which is nothing like apple","549","4.69","94","Apple","12.96"
"2","iPhone X","SIM-Free, Model A19211 6.5-inch Super Retina HD display with OLED technology A12 Bionic chip with ...","899","4.44","34","Apple","17.94"
"3","Samsung Universe 9","Samsung's new variant which goes beyond Galaxy to the Universe","1249","4.09","36","Samsung","15.46"
"4","OPPOF19","OPPO F19 is officially announced on April 2021.","280","4.3","123","OPPO","17.91"
"5","Huawei P30","Huawei’s re-badged P30 Pro New Edition was officially unveiled yesterday in Germany and now the device has made its way to the UK.","499","4.09","32","Huawei","10.58"
"6","MacBook Pro","MacBook Pro 2021 with mini-LED display may launch between September, November","1749","4.57","83","Apple","11.02"
"7","Samsung Galaxy Book","Samsung Galaxy Book S (2020) Laptop With Intel Lakefield Chip, 8GB of RAM Launched","1499","4.25","50","Samsung","4.15"
"8","Microsoft Surface Laptop 4","Style and speed. Stand out on HD video calls backed by Studio Mics. Capture ideas on the vibrant touchscreen.","1499","4.43","68","Microsoft Surface","10.23"
"9","Infinix INBOOK","Infinix Inbook X1 Ci3 10th 8GB 256GB 14 Win10 Grey – 1 Year Warranty","1099","4.54","96","Infinix","11.83"
"10","HP Pavilion 15-DK1056WM","HP Pavilion 15-DK1056WM Gaming Laptop 10th Gen Core i5, 8GB, 256GB SSD, GTX 1650 4GB, Windows 10","1099","4.43","89","HP Pavilion","6.18"
"11","perfume Oil","Mega Discount, Impression of Acqua Di Gio by GiorgioArmani concentrated attar perfume Oil","13","4.26","65","Impression of Acqua Di Gio","8.4"
"12","Brown Perfume","Royal_Mirage Sport Brown Perfume for Men & Women - 120ml","40","4","52","Royal_Mirage","15.66"
"13","Fog Scent Xpressio Perfume","Product details of Best Fog Scent Xpressio Perfume 100ml For Men cool long lasting perfumes for Men","13","4.59","61","Fog Scent Xpressio","8.14"
"14","Non-Alcoholic Concentrated Perfume Oil","Original Al Munakh® by Mahal Al Musk | Our Impression of Climate | 6ml Non-Alcoholic Concentrated Perfume Oil","120","4.21","114","Al Munakh","15.6"
"15","Eau De Perfume Spray","Genuine  Al-Rehab spray perfume from UAE/Saudi Arabia/Yemen High Quality","30","4.7","105","Lord - Al-Rehab","10.99"
"16","Hyaluronic Acid Serum","L'OrÃ©al Paris introduces Hyaluron Expert Replumping Serum formulated with 1.5% Hyaluronic Acid","19","4.83","110","L'Oreal Paris","13.31"
"17","Tree Oil 30ml","Tea tree oil contains a number of compounds, including terpinen-4-ol, that have been shown to kill certain bacteria,","12","4.52","78","Hemani Tea","4.09"
"18","Oil Free Moisturizer 100ml","Dermive Oil Free Moisturizer with SPF 20 is specifically formulated with ceramides, hyaluronic acid & sunscreen.","40","4.56","88","Dermive","13.1"
"19","Skin Beauty Serum.","Product name: rorec collagen hyaluronic acid white face serum riceNet weight: 15 m","46","4.42","54","ROREC White Rice","10.68"
"20","Freckle Treatment Cream- 15gm","Fair & Clear is Pakistan's only pure Freckle cream which helpsfade Freckles, Darkspots and pigments. Mercury level is 0%, so there are no side effects.","70","4.06","140","Fair & Clear","16.99"
"21","- Daal Masoor 500 grams","Fine quality Branded Product Keep in a cool and dry place","20","4.44","133","Saaf & Khaas","4.81"
"22","Elbow Macaroni - 400 gm","Product details of Bake Parlor Big Elbow Macaroni - 400 gm","14","4.57","146","Bake Parlor Big","15.58"
"23","Orange Essence Food Flavou","Specifications of Orange Essence Food Flavour For Cakes and Baking Food Item","14","4.85","26","Baking Food Items","8.04"
"24","cereals muesli fruit nuts","original fauji cereal muesli 250gm box pack original fauji cereals muesli fruit nuts flakes breakfast cereal break fast faujicereals cerels cerel foji fouji","46","4.94","113","fauji","16.8"
"25","Gulab Powder 50 Gram","Dry Rose Flower Powder Gulab Powder 50 Gram • Treats Wounds","70","4.87","47","Dry Rose","13.58"
"26","Plant Hanger For Home","Boho Decor Plant Hanger For Home Wall Decoration Macrame Wall Hanging Shelf","41","4.08","131","Boho Decor","17.86"
"27","Flying Wooden Bird","Package Include 6 Birds with Adhesive Tape Shape: 3D Shaped Wooden Birds Material: Wooden MDF, Laminated 3.5mm","51","4.41","17","Flying Wooden","15.58"
"28","3D Embellishment Art Lamp","3D led lamp sticker Wall sticker 3d wall art light on/off button  cell operated (included)","20","4.82","54","LED Lights","16.49"
"29","Handcraft Chinese style","Handcraft Chinese style art luxury palace hotel villa mansion home decor ceramic vase with brass fruit plate","60","4.44","7","luxury palace","15.34"
"30","Key Holder","Attractive DesignMetallic materialFour key hooksReliable & DurablePremium Quality","30","4.92","54","Golden","2.92"
